bib_key,entry_type,title,authors,year,venue,doi,url
Cai2021VTGNet,article,VTGNet: A Vision-Based Trajectory Generation Network for Autonomous Vehicles in Urban Environments,"Cai, Peide and Sun, Yuxiang and Wang, Hengli and Liu, Ming",2021,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2020.3033878,https://doi.org/10.1109/tiv.2020.3033878
Ampountolas2023Unscented,article,The Unscented Kalman Filter for Nonlinear Parameter Identification of Adaptive Cruise Control Systems,K. Ampountolas,2023,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2023.3272660,https://doi.org/10.1109/tiv.2023.3272660
Bernhard2021RiskConstrained,inproceedings,Risk-Constrained Interactive Safety under Behavior Uncertainty for Autonomous Driving,Julian Bernhard and Alois Knoll,2021,Proceedings of the IEEE Intelligent Vehicles Symposium,10.1109/iv48863.2021.9575956,https://doi.org/10.1109/IV48863.2021.9575956
Chen2022BranchMPC,article,Interactive Multi-Modal Motion Planning with Branch Model Predictive Control,Yuxiao Chen and Ugo Rosolia and Wyatt Ubellacker and Noel Csomay-Shanklin and Aaron D. Ames,2022,IEEE Robotics and Automation Letters,10.1109/lra.2022.3156648,https://doi.org/10.1109/LRA.2022.3156648
Fors2022ResilientBranchingMPC,article,Resilient Branching MPC for Multi-Vehicle Traffic Scenarios Using Adversarial Disturbance Sequences,"Victor Fors and Bj\""orn Olofsson and Erik Frisk",2022,IEEE Transactions on Intelligent Vehicles,10.1109/tiv.2022.3168772,https://doi.org/10.1109/TIV.2022.3168772
Yoon2021InteractionAwareGP,article,Interaction-Aware Probabilistic Trajectory Prediction of Cut-In Vehicles Using Gaussian Process for Proactive Control of Autonomous Vehicles,Youngmin Yoon and Changhee Kim and Jong-Min Lee and Kyongsu Yi,2021,IEEE Access,10.1109/access.2021.3075677,https://doi.org/10.1109/ACCESS.2021.3075677
Jeong2021SelfAdaptivePlanning,article,Self-Adaptive Motion Prediction-Based Proactive Motion Planning for Autonomous Driving in Urban Environments,Yonghwan Jeong,2021,IEEE Access,10.1109/access.2021.3100590,https://doi.org/10.1109/ACCESS.2021.3100590
Samavi2025SICNav,article,SICNav-Diffusion: Safe and Interactive Crowd Navigation With Diffusion Trajectory Predictions,"Samavi, Sepehr and Lem, Anthony and Sato, Fumiaki and Chen, Sirui and Gu, Qiao and Yano, Keijiro and Schoellig, Angela P. and Shkurti, Florian",2025,IEEE Robotics and Automation Letters,10.1109/lra.2025.3585713,https://doi.org/10.1109/lra.2025.3585713
Wilson2020T,inproceedings,T⋆-Lite: A Fast Time-Risk Optimal Motion Planning Algorithm for Multi-Speed Autonomous Vehicles,J. P. Wilson and Z. Shen and S. Gupta and T. A. Wettergren,2020,Global Oceans 2020: Singapore – U.S. Gulf Coast,10.1109/ieeeconf38699.2020.9389426,https://doi.org/10.1109/ieeeconf38699.2020.9389426
Study2025Trajectory,article,A Trajectory Planning Method Considering Uncertainties Based on FSGP-MPC,天宏 许,2025,Operations Research and Fuzziology,10.12677/orf.2025.152110,https://doi.org/10.12677/orf.2025.152110
